# Busqueda lineal. Tiempos en microsegundos
# Talla       Mejor       Peor     Promedio
#------------------------------------------
   10000      0.035      2.051      1.036
   20000      0.034      5.007      2.337
   30000      0.033      6.981      3.495
   40000      0.033      9.233      4.627
   50000      0.033     11.895      5.924
   60000      0.033     14.275      7.064
   70000      0.033     16.443      8.131
   80000      0.033     18.842      9.248
   90000      0.033     21.207     10.824
  100000      0.034     25.461     12.078
